Especie,Latitude,Longitude
Biomphalaria_straminea,-5.799308,-42.670525
Biomphalaria_straminea,-5.885866,-42.635575
Biomphalaria_straminea,-7.008887,-40.936344
Biomphalaria_straminea,-5.250388,-42.203934
Biomphalaria_straminea,-5.034177,-42.467141
Biomphalaria_straminea,-6.245848,-42.856102
Biomphalaria_straminea,-6.086701,-42.731254
Biomphalaria_straminea,-9.188879,-43.051028
Biomphalaria_straminea,-6.108935,-41.790968
Biomphalaria_straminea,-6.65274,-42.530961
Biomphalaria_straminea,-6.51562,-42.110298
Biomphalaria_straminea,-5.817984,-42.505354
Biomphalaria_straminea,-6.95073,-41.315427
Biomphalaria_straminea,-5.314301,-41.106326
Biomphalaria_straminea,-7.653607,-41.879595
Biomphalaria_straminea,-8.102043,-42.958557
Biomphalaria_straminea,-9.81383,-43.325144
Biomphalaria_straminea,-5.323247,-41.545335
Biomphalaria_straminea,-5.09171,-42.205425
Biomphalaria_straminea,-7.866723,-41.583794
Biomphalaria_straminea,-8.814296,-44.227494
Biomphalaria_straminea,-5.35796,-42.673203
Biomphalaria_straminea,-6.95723,-41.620963
Biomphalaria_straminea,-6.956506,-41.621169
Biomphalaria_straminea,-6.200888,-42.136413
Biomphalaria_straminea,-6.76272,-43.023235
Biomphalaria_straminea,-6.625284,-42.698087
Biomphalaria_straminea,-6.991365,-41.137514
Biomphalaria_straminea,-7.085212,-40.613475
Biomphalaria_straminea,-6.771655,-43.576343
Biomphalaria_straminea,-5.98681,-42.549019
Biomphalaria_straminea,-6.670925,-41.713017
Biomphalaria_straminea,-7.35472,-41.135425
Biomphalaria_straminea,-6.120676,-42.64192
Biomphalaria_straminea,-4.773234,-42.605063
Biomphalaria_straminea,-5.177642,-41.694035
Biomphalaria_straminea,-5.831432,-42.631686
Biomphalaria_straminea,-4.517324,-42.622868
Biomphalaria_straminea,-4.159464,-42.893944
Biomphalaria_straminea,-5.6832,-42.738177
Biomphalaria_straminea,-5.564397,-42.612601
Biomphalaria_straminea,-6.450506,-41.935804
Biomphalaria_straminea,-6.992928,-42.076534
Biomphalaria_straminea,-7.357951,-40.90536
Biomphalaria_straminea,-7.789672,-42.254158
Biomphalaria_straminea,-5.980259,-43.06314
Biomphalaria_straminea,-5.856851,-42.435931
Biomphalaria_straminea,-8.137891,-41.150436
Biomphalaria_straminea,-6.83906,-40.615414
Biomphalaria_straminea,-4.283333,-41.786811
Biomphalaria_straminea,-5.663506,-42.207104
Biomphalaria_straminea,-6.242132,-42.688729
Biomphalaria_straminea,-7.192077,-41.766726
Biomphalaria_straminea,-6.97886,-41.226916
Biomphalaria_straminea,-7.43061,-41.91401
Biomphalaria_straminea,-5.930044,-42.110964
Biomphalaria_straminea,-5.992103,-42.708275
Biomphalaria_straminea,-6.816165,-41.342495
Biomphalaria_straminea,-5.512442,-41.898861
Biomphalaria_straminea,-8.35211,-42.251055
Biomphalaria_straminea,-7.490889,-42.565525
Biomphalaria_straminea,-7.085186,-40.837675
Biomphalaria_straminea,-5.505916,-41.296103
Biomphalaria_straminea,-5.932303,-42.722365
Biomphalaria_straminea,-9.016166,-42.689258
Biomphalaria_straminea,-4.917654,-41.728789
Biomphalaria_straminea,-7.594669,-40.814719
Biomphalaria_straminea,-7.877378,-41.898784
Biomphalaria_straminea,-7.846668,-42.483984
Biomphalaria_straminea,-4.580343,-42.870298
Biomphalaria_straminea,-6.403039,-41.746035
Biomphalaria_straminea,-6.542893,-42.258698
Biomphalaria_straminea,-14.390086,-56.434575
Biomphalaria_straminea,-15.628314,-56.123463
Biomphalaria_straminea,-7.398662,-39.047532
Biomphalaria_straminea,-4.229227,-38.713065
Biomphalaria_straminea,-2.869255,-39.986186
Biomphalaria_straminea,-6.084792,-39.456473
Biomphalaria_straminea,-6.570217,-40.127034
Biomphalaria_straminea,-3.363541,-39.834284
Biomphalaria_straminea,-6.772556,-39.994375
Biomphalaria_straminea,-3.949029,-39.427735
Biomphalaria_straminea,-3.929493,-38.369533
Biomphalaria_straminea,-4.561939,-37.775436
Biomphalaria_straminea,-4.363674,-38.810841
Biomphalaria_straminea,-7.209418,-40.13282
Biomphalaria_straminea,-6.324744,-40.16167
Biomphalaria_straminea,-6.865654,-39.874347
Biomphalaria_straminea,-6.943141,-38.964388
Biomphalaria_straminea,-6.739186,-38.702912
Biomphalaria_straminea,-5.299791,-38.919905
Biomphalaria_straminea,-7.315256,-39.301541
Biomphalaria_straminea,-4.285393,-38.639969
Biomphalaria_straminea,-7.185373,-38.784004
Biomphalaria_straminea,-4.322529,-38.882028
Biomphalaria_straminea,-5.108558,-39.584139
Biomphalaria_straminea,-7.490724,-38.991838
Biomphalaria_straminea,-2.899538,-40.838006
Biomphalaria_straminea,-7.065971,-40.374642
Biomphalaria_straminea,-4.372317,-39.31691
Biomphalaria_straminea,-4.463736,-38.893432
Biomphalaria_straminea,-3.947163,-40.480773
Biomphalaria_straminea,-7.030964,-39.283445
Biomphalaria_straminea,-4.161551,-40.948847
Biomphalaria_straminea,-4.129376,-38.309703
Biomphalaria_straminea,-3.779353,-38.953188
Biomphalaria_straminea,-6.599681,-39.073161
Biomphalaria_straminea,-3.557199,-40.641487
Biomphalaria_straminea,-5.178503,-40.642165
Biomphalaria_straminea,-7.254893,-39.430869
Biomphalaria_straminea,-4.416715,-40.911414
Biomphalaria_straminea,-6.924355,-39.569886
Biomphalaria_straminea,-3.814202,-38.44355
Biomphalaria_straminea,-3.763056,-40.814848
Biomphalaria_straminea,-4.05074,-39.446514
Biomphalaria_straminea,-3.123327,-40.820886
Biomphalaria_straminea,-4.260084,-38.944778
Biomphalaria_straminea,-6.396488,-38.860224
Biomphalaria_straminea,-6.361878,-39.304487
Biomphalaria_straminea,-5.394633,-40.296623
Biomphalaria_straminea,-4.339552,-40.71387
Biomphalaria_straminea,-4.541048,-40.712334
Biomphalaria_straminea,-4.672919,-37.817263
Biomphalaria_straminea,-3.507047,-39.58125
Biomphalaria_straminea,-4.567071,-38.930541
Biomphalaria_straminea,-5.612526,-38.769479
Biomphalaria_straminea,-5.887177,-38.638717
Biomphalaria_straminea,-4.838298,-37.768008
Biomphalaria_straminea,-6.52362,-39.522199
Biomphalaria_straminea,-6.753348,-38.96019
Biomphalaria_straminea,-5.131478,-38.100665
Biomphalaria_straminea,-3.838278,-38.634626
Biomphalaria_straminea,-3.886017,-38.655792
Biomphalaria_straminea,-7.396014,-38.756678
Biomphalaria_straminea,-7.311053,-38.934304
Biomphalaria_straminea,-5.679434,-39.187725
Biomphalaria_straminea,-5.742021,-39.628035
Biomphalaria_straminea,-5.106285,-38.374547
Biomphalaria_straminea,-3.225704,-40.129318
Biomphalaria_straminea,-4.32298,-38.986106
Biomphalaria_straminea,-7.091823,-39.686449
Biomphalaria_straminea,-4.695314,-40.568493
Biomphalaria_straminea,-6.239781,-38.926251
Biomphalaria_straminea,-4.161316,-38.460926
Biomphalaria_straminea,-3.922606,-38.564137
Biomphalaria_straminea,-4.227136,-38.920399
Biomphalaria_straminea,-4.149178,-38.847797
Biomphalaria_straminea,-3.419488,-39.017764
Biomphalaria_straminea,-3.443658,-39.145203
